시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,
의정부시 여성안심 택배보관함,경기도,의정부시,41150,경기도 의정부시 평화로 363,경기도 의정부시 호원동 50-5번지,37.7244221760,127.047255,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,01,"택배기사에 의해 물품이 보관함으로 배송되면 배송일시와 인증번호가 수령자의 휴대폰으로 전송되며, 택배도착 알림문자(인증번호)를 받은 시민은 보관함에 휴대폰번호와 인증번호를 입력하고 물품을 찾아가면 된다.",대형/01+중형/02+소형/03,01/01+02/05+03/33,01/55+02/55+03/55,01/45+02/45+03/45,01/80+02/45+03/30,2016-05-01,1599-2740,경기도 의정부시,031-828-4232,2019-08-01,3820000,경기도 의정부시,
의정부시 여성안심 택배보관함,경기도,의정부시,41150,경기도 의정부시 장곡로 471,경기도 의정부시 신곡동 547-15번지,37.7452952454,127.0567626774,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,01,"택배기사에 의해 물품이 보관함으로 배송되면 배송일시와 인증번호가 수령자의 휴대폰으로 전송되며, 택배도착 알림문자(인증번호)를 받은 시민은 보관함에 휴대폰번호와 인증번호를 입력하고 물품을 찾아가면 된다.",중형/02+소형/03,02/03+03/09,01/55+02/55+03/55,01/45+02/45+03/45,01/80+02/45+03/30,2016-05-01,1599-2740,경기도 의정부시,031-828-4232,2019-08-01,3820000,경기도 의정부시,
의정부시 여성안심 택배보관함,경기도,의정부시,41150,경기도 의정부시 충의로 59,경기도 의정부시 용현동 558번지,37.737254,127.087215504,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,01,"택배기사에 의해 물품이 보관함으로 배송되면 배송일시와 인증번호가 수령자의 휴대폰으로 전송되며, 택배도착 알림문자(인증번호)를 받은 시민은 보관함에 휴대폰번호와 인증번호를 입력하고 물품을 찾아가면 된다.",대형/01+중형/02+소형/03,01/01+02/03+03/15,01/55+02/55+03/55,01/45+02/45+03/45,01/80+02/45+03/30,2016-05-01,1599-2740,경기도 의정부시,031-828-4232,2019-08-01,3820000,경기도 의정부시,
의정부시 여성안심 택배보관함,경기도,의정부시,41150,경기도 의정부시 신촌로 35,경기도 의정부시 가능동 617-8번지,37.7505966775,127.0386115420,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,01,"택배기사에 의해 물품이 보관함으로 배송되면 배송일시와 인증번호가 수령자의 휴대폰으로 전송되며, 택배도착 알림문자(인증번호)를 받은 시민은 보관함에 휴대폰번호와 인증번호를 입력하고 물품을 찾아가면 된다.",대형/01+중형/02+소형/03,01/01+02/03+03/15,01/55+02/55+03/55,01/45+02/45+03/45,01/80+02/45+03/30,2016-05-01,1599-2740,경기도 의정부시,031-828-4232,2019-08-01,3820000,경기도 의정부시,
이든아이빌,서울특별시,성동구,11200,서울특별시 성동구 왕십리로21라길 11,서울특별시 성동구 하왕십리동 978-1,37.560559,127.0304127,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중소형/03,03/25,03/55,03/252,03/222,2014-01-01,1899-4711,㈜새누,1899-4711,2019-06-03,3030000,서울특별시 성동구,
성동구립도서관,서울특별시,성동구,11200,서울특별시 성동구 고산자로10길 9,서울특별시 성동구 행당동 142-4,37.559153,127.034939,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중소형/03,03/25,03/55,03/252,03/222,2015-01-01,1899-4711,㈜새누,1899-4711,2019-06-03,3030000,서울특별시 성동구,
성동구민종합체육센터,서울특별시,성동구,11200,서울특별시 성동구 왕십리로 89,서울특별시 성동구 성수동1가 685-697,37.545847,127.0440489,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중소형/03,03/19,03/60,03/200,03/230,2017-01-01,1899-4711,㈜새누,1899-4711,2019-06-03,3030000,서울특별시 성동구,
사근동주민센터,서울특별시,성동구,11200,서울특별시 성동구 사근동길 37,서울특별시 성동구 사근동 223-22,37.5614997516,127.045327332,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중소형/03,03/13,03/50,03/200,03/230,2018-01-01,1899-4711,㈜새누,1899-4711,2019-06-03,3030000,서울특별시 성동구,
송림아뜨랫길,인천광역시,동구,28140,인천광역시 동구 송림로 지하 82-1,인천광역시 동구 송림동 39,37.4743178,126.6371998,07:00,23:00,07:00,23:00,07:00,23:00,48,24,1000,02,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/04,02/6+04/12,02/60+04/60,02/50+04/50,02/45+04/22.5,2018-01-01,1899-4711,인천광역시 동구청,032-770-6493,2019-08-27,3500000,인천광역시 동구,
송현3동 행정복지센터,인천광역시,동구,28140,인천광역시 동구 인중로 635-20,인천광역시 동구 송현동 1-825,37.4822473,126.6426346,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,02,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/04,02/4+04/8,02/60+04/60,02/50+04/50,02/45+04/22.5,2018-12-27,1899-4711,인천광역시 동구청,032-770-6493,2019-08-27,3500000,인천광역시 동구,
만석동 체력단련실,인천광역시,동구,28140,인천광역시 동구 제물량로 394(만석동 행정복지센터 체력단련실 앞),인천광역시 동구 만석동 19-2,37.483307,126.6256522,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,02,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/04,02/6+04/12,02/60+04/60,02/50+04/50,02/45+04/22.5,2019-01-04,1899-4711,인천광역시 동구청,032-770-6493,2019-08-27,3500000,인천광역시 동구,
제주시 외도동 주민센터,제주특별자치도,제주시,50110,제주특별자치도 제주시 일주서로 7350,,33.49292626,126.4322517,00:00,24:00,00:00,24:00,00:00,24:00,72,24,1000,02,1. 이용자:택배수령지를 보관함 설치장소로 지정 2. 택배업체:이용자의 휴대폰 번호 입력 후 물품보관 3. 종합관제센터:이용자의 휴대폰으로 택배도착문자 및 인증번호 발송 4. 이용자:발송된 인증번호 입력 후 물품 수령,중소형/03,03/25,03/60,03/50,03/32,2014-04-30,02-857-2750,여성긴급전화 1366제주센터,064-712-1366,2019-06-11,6500000,제주특별자치도,
